concept,label,standard_concept,2026-06-30 (FY),2025-06-30 (FY),2024-06-30 (FY),level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
us-gaap_NetCashProvidedByUsedInOperatingActivitiesAbstract,Operations,,,,,1,True,False,False,,,,,,,,,us-gaap_StatementOfCashFlowsAbstract
us-gaap_NetIncomeLoss,Net income,NetIncome,133749000000.0,101832000000.0,88136000000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_NetCashProvidedByUsedInOperatingActivitiesAbstract
us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract,Adjustments to reconcile net income to net cash from operations:,,,,,2,True,False,False,,,,,,,,,us-gaap_NetCashProvidedByUsedInOperatingActivitiesAbstract
msft_DepreciationAmortizationAndOther,"Depreciation, amortization, and other",,38534000000.0,29433000000.0,20958000000.0,3,False,False,False,,,,,debit,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract
us-gaap_ShareBasedCompensation,Stock-based compensation expense,StockBasedCompensationExpense,12405000000.0,11974000000.0,10734000000.0,3,False,False,False,,,,,debit,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract
msft_GainLossOnInvestmentsAndDerivativeInstruments,Net recognized losses (gains) on investments and derivatives,,-11047000000.0,5329000000.0,1634000000.0,3,False,False,False,,,,,credit,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract
us-gaap_DeferredIncomeTaxesAndTaxCredits,Deferred income taxes,DeferredIncomeTaxCF,14189000000.0,-7056000000.0,-4738000000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract
us-gaap_IncreaseDecreaseInOperatingCapitalAbstract,Changes in operating assets and liabilities:,,,,,3,True,False,False,,,,,,,,,us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract
us-gaap_IncreaseDecreaseInAccountsReceivable,Accounts receivable,,-12737000000.0,-10581000000.0,-7191000000.0,4,False,False,False,,,,,,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInInventories,Inventories,,-461000000.0,309000000.0,1284000000.0,4,False,False,False,,,,,,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInOtherCurrentAssets,Other current assets,ChangeInOtherWorkingCapital,-2627000000.0,-3044000000.0,-1648000000.0,4,False,False,False,,,,,,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInOtherNoncurrentAssets,Other long-term assets,NetCashFromOperatingActivities,-3964000000.0,-2950000000.0,-6817000000.0,4,False,False,False,,,,,,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInAccountsPayable,Accounts payable,,5268000000.0,569000000.0,3545000000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInContractWithCustomerLiability,Unearned revenue,ChangeInDeferredRevenue,9361000000.0,5438000000.0,5348000000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,Income taxes,,-1875000000.0,-38000000.0,1687000000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInOtherCurrentLiabilities,Other current liabilities,,6847000000.0,5922000000.0,4867000000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities,Other long-term liabilities,NetCashFromOperatingActivities,-4707000000.0,-975000000.0,749000000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInOperatingActivities,us-gaap_IncreaseDecreaseInOperatingCapitalAbstract
us-gaap_NetCashProvidedByUsedInOperatingActivities,Net cash from operations,NetCashFromOperatingActivities,182935000000.0,136162000000.0,118548000000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap_NetCashProvidedByUsedInOperatingActivitiesAbstract
us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract,Financing,,,,,1,True,False,False,,,,,,,,,us-gaap_StatementOfCashFlowsAbstract
us-gaap_ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,"Proceeds from issuance (repayments) of debt, maturities of 90 days or less, net",,0.0,-5746000000.0,5250000000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInFinancingActivities,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_ProceedsFromDebtMaturingInMoreThanThreeMonths,Proceeds from issuance of debt,,0.0,0.0,24395000000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInFinancingActivities,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_RepaymentsOfDebtMaturingInMoreThanThreeMonths,Repayments of debt,,-3000000000.0,-3216000000.0,-29070000000.0,3,False,False,False,,,,,,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInFinancingActivities,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_ProceedsFromIssuanceOfCommonStock,Common stock issued,EquityExpenseIncome(BuybackIssued),2009000000.0,2056000000.0,2002000000.0,3,False,False,False,,,,,debit,1.0,1.0,us-gaap_NetCashProvidedByUsedInFinancingActivities,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_PaymentsForRepurchaseOfCommonStock,Common stock repurchased,EquityExpenseIncome(BuybackIssued),-22271000000.0,-18420000000.0,-17254000000.0,3,False,False,False,,,,,credit,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInFinancingActivities,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_PaymentsOfDividendsCommonStock,Common stock cash dividends paid,NetCashFromFinancingActivities,-26445000000.0,-24082000000.0,-21771000000.0,3,False,False,False,,,,,credit,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInFinancingActivities,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_ProceedsFromPaymentsForOtherFinancingActivities,"Other, net",NetCashFromFinancingActivities,-2839000000.0,-2291000000.0,-1309000000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInFinancingActivities,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_NetCashProvidedByUsedInFinancingActivities,Net cash used in financing,NetCashFromFinancingActivities,-52546000000.0,-51699000000.0,-37757000000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract
us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract,Investing,,,,,1,True,False,False,,,,,,,,,us-gaap_StatementOfCashFlowsAbstract
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,Additions to property and equipment,CapitalExpenses,-115948000000.0,-64551000000.0,-44477000000.0,3,False,False,False,,,,,credit,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInInvestingActivities,us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract
msft_AcquisitionsNetOfCashAcquiredAndPurchasesOfIntangibleAndOtherAssets,"Acquisition of companies, net of cash acquired and divestitures, and purchases of intangible and other assets",,-1743000000.0,-5978000000.0,-69132000000.0,3,False,False,False,,,,,credit,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInInvestingActivities,us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract
us-gaap_PaymentsToAcquireInvestments,Purchases of investments,InvestmentPurchases,-58351000000.0,-29775000000.0,-17732000000.0,3,False,False,False,,,,,,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInInvestingActivities,us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract
us-gaap_ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,Maturities of investments,InvestmentProceeds,34605000000.0,16079000000.0,24775000000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_NetCashProvidedByUsedInInvestingActivities,us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract
msft_ProceedsFromInvestments,Sales of investments,,21798000000.0,9309000000.0,10894000000.0,3,False,False,False,,,,,debit,1.0,1.0,us-gaap_NetCashProvidedByUsedInInvestingActivities,us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,"Other, net",NetCashFromInvestingActivities,-19861000000.0,2317000000.0,-1298000000.0,3,False,False,False,,,,,,-1.0,-1.0,us-gaap_NetCashProvidedByUsedInInvestingActivities,us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract
us-gaap_NetCashProvidedByUsedInInvestingActivities,Net cash used in investing,NetCashFromInvestingActivities,-139500000000.0,-72599000000.0,-96970000000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract
us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,Effect of foreign exchange rates on cash and cash equivalents,ForeignExchangeEffectOnCash,-196000000.0,63000000.0,-210000000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap_StatementOfCashFlowsAbstract
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,Net change in cash and cash equivalents,NetChangeInCash,-9307000000.0,11927000000.0,-16389000000.0,1,False,False,False,,,,,,1.0,1.0,,us-gaap_StatementOfCashFlowsAbstract
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"Cash and cash equivalents, beginning of period",CashAndCashEquivalents,30242000000.0,18315000000.0,34704000000.0,1,False,False,False,,,,,,,1.0,,us-gaap_StatementOfCashFlowsAbstract
