concept,label,standard_concept,2026-06-30 (FY),2025-06-30 (FY),2024-06-30 (FY),level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,Revenue,331839000000.0,281724000000.0,245122000000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Product,,64696000000.0,63946000000.0,64773000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ProductMember,Product,srt:ProductOrServiceAxis: Product,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Service and Other,,267143000000.0,217778000000.0,180349000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ServiceOtherMember,Service and Other,srt:ProductOrServiceAxis: Service and Other,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
us-gaap_CostOfGoodsAndServicesSold,Cost of revenue,CostOfGoodsAndServicesSold,106374000000.0,87831000000.0,74114000000.0,4,False,False,False,,,,,debit,-1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
us-gaap_CostOfGoodsAndServicesSold,Product,,12098000000.0,13501000000.0,15272000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ProductMember,Product,srt:ProductOrServiceAxis: Product,debit,-1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
us-gaap_CostOfGoodsAndServicesSold,Service and Other,,94276000000.0,74330000000.0,58842000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ServiceOtherMember,Service and Other,srt:ProductOrServiceAxis: Service and Other,debit,-1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
us-gaap_GrossProfit,Gross margin,GrossProfit,225465000000.0,193893000000.0,171008000000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_StatementLineItems
us-gaap_ResearchAndDevelopmentExpense,Research and development,ResearchAndDevelopmentExpenses,35562000000.0,32488000000.0,29510000000.0,3,False,False,False,,,,,debit,-1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_StatementLineItems
us-gaap_SellingAndMarketingExpense,Sales and marketing,SellingGeneralAndAdminExpenses,26710000000.0,25654000000.0,24456000000.0,3,False,False,False,,,,,debit,-1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_StatementLineItems
us-gaap_GeneralAndAdministrativeExpense,General and administrative,SellingGeneralAndAdminExpenses,7956000000.0,7223000000.0,7609000000.0,3,False,False,False,,,,,debit,-1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_StatementLineItems
us-gaap_OperatingIncomeLoss,Operating income,OperatingIncomeLoss,155237000000.0,128528000000.0,109433000000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_StatementLineItems
us-gaap_NonoperatingIncomeExpense,"Other income (expense), net",NonoperatingIncomeExpense,10697000000.0,-4901000000.0,-1646000000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_StatementLineItems
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income before income taxes,PretaxIncomeLoss,165934000000.0,123627000000.0,107787000000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_NetIncomeLoss,us-gaap_StatementLineItems
us-gaap_IncomeTaxExpenseBenefit,Provision for income taxes,IncomeTaxes,32185000000.0,21795000000.0,19651000000.0,3,False,False,False,,,,,debit,-1.0,1.0,us-gaap_NetIncomeLoss,us-gaap_StatementLineItems
us-gaap_NetIncomeLoss,Net income,NetIncome,133749000000.0,101832000000.0,88136000000.0,3,False,False,False,,,,,credit,1.0,1.0,,us-gaap_StatementLineItems
us-gaap_EarningsPerShareAbstract,Earnings per share:,,,,,3,True,False,False,,,,,,,,,us-gaap_StatementLineItems
us-gaap_EarningsPerShareBasic,Basic,,18.0,13.7,11.86,4,False,False,False,,,,,,,1.0,,us-gaap_EarningsPerShareAbstract
us-gaap_EarningsPerShareDiluted,Diluted,,17.95,13.64,11.8,4,False,False,False,,,,,,,1.0,,us-gaap_EarningsPerShareAbstract
us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract,Weighted average shares outstanding:,,,,,3,True,False,False,,,,,,,,,us-gaap_StatementLineItems
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Basic,SharesAverage,7429000000.0,7433000000.0,7431000000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Diluted,SharesFullyDilutedAverage,7453000000.0,7465000000.0,7469000000.0,4,False,False,False,,,,,,1.0,1.0,,us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract
