fact_id,ingestion_fingerprint,ticker,source,statement,concept,standard_concept,canonical_key,label,value,numeric_value,unit,currency,scale_factor,period,period_kind,period_type,period_start,period_end,period_instant,fiscal_year,fiscal_period,filing_date,form_type,accession,source_locator,context_ref,statement_role,metadata,dimensions,is_derived,derivation,original_source
f-72,4ca703d6a2f37bb06aaaf5cbadf2a3d25493f59d58413170b28120daa77303b7,AAPL,edgar,income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,,revenuefromcontractwithcustomerexcludingassessedtax,Net sales,307003000000,307003000000.0,usd,USD,1.0,duration_2024-09-29_2025-09-27,reported,duration,2024-09-29,2025-09-27,,2025,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-72,c-12,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""credit"", ""cik"": ""0000320193"", ""context_ref"": ""c-12"", ""period_key"": ""duration_2024-09-29_2025-09-27"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": 1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ProductMember""}",False,,edgar_xbrl
f-73,b4642159f444fe99ad2e91977fb89c8928963f9ad9627efc12f37eca4ea56c66,AAPL,edgar,income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,,revenuefromcontractwithcustomerexcludingassessedtax,Net sales,294866000000,294866000000.0,usd,USD,1.0,duration_2023-10-01_2024-09-28,reported,duration,2023-10-01,2024-09-28,,2025,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-73,c-13,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""credit"", ""cik"": ""0000320193"", ""context_ref"": ""c-13"", ""period_key"": ""duration_2023-10-01_2024-09-28"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": 1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ProductMember""}",False,,edgar_xbrl
f-74,4a22ab48dbc10789a4d8803ec2f2283d4dac993b65adf037cbb69bdb06b1669a,AAPL,edgar,income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,,revenuefromcontractwithcustomerexcludingassessedtax,Net sales,298085000000,298085000000.0,usd,USD,1.0,duration_2022-09-25_2023-09-30,reported,duration,2022-09-25,2023-09-30,,2024,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-74,c-14,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""credit"", ""cik"": ""0000320193"", ""context_ref"": ""c-14"", ""period_key"": ""duration_2022-09-25_2023-09-30"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": 1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ProductMember""}",False,,edgar_xbrl
f-81,16e27345ffda931e6e35520f73ca61d8e018269efb9690ab401f78e5f9c390bd,AAPL,edgar,income_statement,us-gaap:CostOfGoodsAndServicesSold,,costofgoodsandservicessold,Cost of sales,194116000000,194116000000.0,usd,USD,1.0,duration_2024-09-29_2025-09-27,reported,duration,2024-09-29,2025-09-27,,2025,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-81,c-12,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""debit"", ""cik"": ""0000320193"", ""context_ref"": ""c-12"", ""period_key"": ""duration_2024-09-29_2025-09-27"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": -1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ProductMember""}",False,,edgar_xbrl
f-82,b7bbf44401edc572955e3aa89a7f1ed5c4aa7002cc05faa3b39011af4464faff,AAPL,edgar,income_statement,us-gaap:CostOfGoodsAndServicesSold,,costofgoodsandservicessold,Cost of sales,185233000000,185233000000.0,usd,USD,1.0,duration_2023-10-01_2024-09-28,reported,duration,2023-10-01,2024-09-28,,2025,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-82,c-13,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""debit"", ""cik"": ""0000320193"", ""context_ref"": ""c-13"", ""period_key"": ""duration_2023-10-01_2024-09-28"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": -1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ProductMember""}",False,,edgar_xbrl
f-83,3388c786ad0fc4732d4f23cee526cc5ba214d61bb527939db4ae83b272759ebc,AAPL,edgar,income_statement,us-gaap:CostOfGoodsAndServicesSold,,costofgoodsandservicessold,Cost of sales,189282000000,189282000000.0,usd,USD,1.0,duration_2022-09-25_2023-09-30,reported,duration,2022-09-25,2023-09-30,,2024,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-83,c-14,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""debit"", ""cik"": ""0000320193"", ""context_ref"": ""c-14"", ""period_key"": ""duration_2022-09-25_2023-09-30"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": -1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ProductMember""}",False,,edgar_xbrl
f-84,300138b1d69a824d2d489e7f11dca8e85544789c22b9ff805b3533df582ad7fb,AAPL,edgar,income_statement,us-gaap:CostOfGoodsAndServicesSold,,costofgoodsandservicessold,Cost of sales,26844000000,26844000000.0,usd,USD,1.0,duration_2024-09-29_2025-09-27,reported,duration,2024-09-29,2025-09-27,,2025,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-84,c-15,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""debit"", ""cik"": ""0000320193"", ""context_ref"": ""c-15"", ""period_key"": ""duration_2024-09-29_2025-09-27"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": -1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ServiceMember""}",False,,edgar_xbrl
f-85,33f967c0418bb79a4921ed0b628f0d0897253e3a4910eb57b6b8ad816b99ab72,AAPL,edgar,income_statement,us-gaap:CostOfGoodsAndServicesSold,,costofgoodsandservicessold,Cost of sales,25119000000,25119000000.0,usd,USD,1.0,duration_2023-10-01_2024-09-28,reported,duration,2023-10-01,2024-09-28,,2025,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-85,c-16,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""debit"", ""cik"": ""0000320193"", ""context_ref"": ""c-16"", ""period_key"": ""duration_2023-10-01_2024-09-28"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": -1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ServiceMember""}",False,,edgar_xbrl
f-86,a1094c477ce3fb22ad8f868074fc4b3c2dd65e8b8dfa9dcf01a21ee0068acb3b,AAPL,edgar,income_statement,us-gaap:CostOfGoodsAndServicesSold,,costofgoodsandservicessold,Cost of sales,24855000000,24855000000.0,usd,USD,1.0,duration_2022-09-25_2023-09-30,reported,duration,2022-09-25,2023-09-30,,2024,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-86,c-17,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""debit"", ""cik"": ""0000320193"", ""context_ref"": ""c-17"", ""period_key"": ""duration_2022-09-25_2023-09-30"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": -1.0}","{""srt_ProductOrServiceAxis"": ""us-gaap:ServiceMember""}",False,,edgar_xbrl
f-90,6656a18423f958947278fd9af7fb8e736033fd5283eadcb3c573ac29ddf013ad,AAPL,edgar,income_statement,us-gaap:GrossProfit,GrossProfit,grossprofit,Gross margin,195201000000,195201000000.0,usd,USD,1.0,duration_2024-09-29_2025-09-27,reported,duration,2024-09-29,2025-09-27,,2025,FY,2025-10-31,10-K,0000320193-25-000079,edgar:0000320193-25-000079:f-90,c-1,http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS,"{""balance"": ""credit"", ""cik"": ""0000320193"", ""context_ref"": ""c-1"", ""period_key"": ""duration_2024-09-29_2025-09-27"", ""preferred_sign"": 1.0, ""statement_role"": ""http://www.apple.com/role/CONSOLIDATEDSTATEMENTSOFOPERATIONS"", ""statement_type"": ""IncomeStatement"", ""weight"": 1.0}",{},False,,edgar_xbrl
